m,n,Group,Mean,Range,UCL,LCL,Status
48,816,26,0.10001526809673256,0.019953242,0.10404794189877152,0.095948065,Accept
48,816,27,0.099986822,0.019995182,0.10404794189877152,0.095948065,Accept
48,816,28,0.10017897847798704,0.019929383303557077,0.10404794189877152,0.095948065,Accept
48,816,29,0.099994782,0.019987021,0.10404794189877152,0.095948065,Accept
48,816,30,0.099971998,0.019903434176628237,0.10404794189877152,0.095948065,Accept
48,816,31,0.099904057,0.019995575789938685,0.10404794189877152,0.095948065,Accept
48,816,32,0.10004546709258287,0.019977893833302368,0.10404794189877152,0.095948065,Accept
48,816,33,0.10000663147269105,0.019952078575001836,0.10404794189877152,0.095948065,Accept
48,816,34,0.10016861891523265,0.019975807222872094,0.10404794189877152,0.095948065,Accept
48,816,35,0.10005028050429804,0.019994554,0.10404794189877152,0.095948065,Accept
48,816,36,0.10002132251851586,0.019936851103545372,0.10404794189877152,0.095948065,Accept
48,816,37,0.10016381717063552,0.01997124,0.10404794189877152,0.095948065,Accept
48,816,38,0.099611789,0.019959689,0.10404794189877152,0.095948065,Accept
48,816,39,0.099942953,0.019914110234946353,0.10404794189877152,0.095948065,Accept
48,816,40,0.099812178,0.019914064,0.10404794189877152,0.095948065,Accept
48,816,41,0.099785453,0.019946098119511965,0.10404794189877152,0.095948065,Accept
48,816,42,0.10000840192515888,0.019983483760155477,0.10404794189877152,0.095948065,Accept
48,816,43,0.1000568492486946,0.019916646563323703,0.10404794189877152,0.095948065,Accept
48,816,44,0.099889121,0.019987773,0.10404794189877152,0.095948065,Accept
48,816,45,0.099904901,0.019988911,0.10404794189877152,0.095948065,Accept
48,816,46,0.099767592,0.019932113740750462,0.10404794189877152,0.095948065,Accept
48,816,47,0.09994204,0.019951797418600925,0.10404794189877152,0.095948065,Accept
48,816,48,0.099902422,0.019999016303522563,0.10404794189877152,0.095948065,Accept
64,202,1,0.099953938,0.019860373501222578,0.12022890343513118,0.079712084,Accept
64,202,2,0.10061447189500172,0.019539937681158484,0.12022890343513118,0.079712084,Accept
64,202,3,0.099886287,0.019889154931400727,0.12022890343513118,0.079712084,Accept
64,202,4,0.10020520519708888,0.019933803376674955,0.12022890343513118,0.079712084,Accept
64,202,5,0.099992696,0.019908583360314036,0.12022890343513118,0.079712084,Accept
64,202,6,0.099764939,0.019995051,0.12022890343513118,0.079712084,Accept
64,202,7,0.1001308924243952,0.01993573,0.12022890343513118,0.079712084,Accept
64,202,8,0.10014376831647487,0.019785779773094328,0.12022890343513118,0.079712084,Accept
64,202,9,0.099049791,0.019661528475570164,0.12022890343513118,0.079712084,Accept
64,202,10,0.10021079209978416,0.019469778043824715,0.12022890343513118,0.079712084,Accept
64,202,11,0.1006373171440077,0.019744860130032627,0.12022890343513118,0.079712084,Accept
64,202,12,0.10011030217612017,0.019901482,0.12022890343513118,0.079712084,Accept
64,202,13,0.09959262,0.019906286,0.12022890343513118,0.079712084,Accept
64,202,14,0.10011208523149057,0.019794487033140087,0.12022890343513118,0.079712084,Accept
64,202,15,0.099661025,0.019862687192102366,0.12022890343513118,0.079712084,Accept
64,202,16,0.099462523,0.019792462,0.12022890343513118,0.079712084,Accept
64,202,17,0.099605634,0.019852103190011947,0.12022890343513118,0.079712084,Accept
64,202,18,0.099515497,0.019945013503022413,0.12022890343513118,0.079712084,Accept
64,202,19,0.099644256,0.019911309668028482,0.12022890343513118,0.079712084,Accept
64,202,20,0.10027043379875114,0.019912052685784637,0.12022890343513118,0.079712084,Accept
64,202,21,0.099686594,0.019761311890872088,0.12022890343513118,0.079712084,Accept
64,202,22,0.1002455339210258,0.019907883022192693,0.12022890343513118,0.079712084,Accept
64,202,23,0.100020287,0.019780128028502583,0.12022890343513118,0.079712084,Accept
64,202,24,0.10049633032033176,0.019709669,0.12022890343513118,0.079712084,Accept
64,202,25,0.099791415,0.019859298478854565,0.12022890343513118,0.079712084,Accept
64,202,26,0.10037349584008376,0.019945945463228656,0.12022890343513118,0.079712084,Accept
64,202,27,0.10052655040769953,0.019855923719383703,0.12022890343513118,0.079712084,Accept
64,202,28,0.099914036,0.019551882,0.12022890343513118,0.079712084,Accept
64,202,29,0.099259527,0.019597613879484638,0.12022890343513118,0.079712084,Accept
64,202,30,0.10036506655593747,0.019884417015617578,0.12022890343513118,0.079712084,Accept
64,202,31,0.099263222,0.019701195947809128,0.12022890343513118,0.079712084,Accept
64,202,32,0.10039534824066214,0.019856727,0.12022890343513118,0.079712084,Accept
64,202,33,0.10047455158616285,0.019741254133383304,0.12022890343513118,0.079712084,Accept
64,202,34,0.1002434575533951,0.019403473,0.12022890343513118,0.079712084,Accept
64,202,35,0.10006579683947696,0.019680743174255125,0.12022890343513118,0.079712084,Accept
64,202,36,0.099920065,0.019954077738025308,0.12022890343513118,0.079712084,Accept
64,202,37,0.099395154,0.019674153,0.12022890343513118,0.079712084,Accept
64,202,38,0.10002279646170233,0.019850614,0.12022890343513118,0.079712084,Accept
64,202,39,0.10062517922532695,0.019820982913163476,0.12022890343513118,0.079712084,Accept
64,202,40,0.099723474,0.019845441237722777,0.12022890343513118,0.079712084,Accept
64,202,41,0.099744359,0.019762958859540075,0.12022890343513118,0.079712084,Accept
64,202,42,0.099748267,0.019792445,0.12022890343513118,0.079712084,Accept
64,202,43,0.099654137,0.019755866770743466,0.12022890343513118,0.079712084,Accept
64,202,44,0.098980655,0.019746508920270245,0.12022890343513118,0.079712084,Accept
64,202,45,0.099550734,0.019844083,0.12022890343513118,0.079712084,Accept
64,202,46,0.10013934545578475,0.019763984,0.12022890343513118,0.079712084,Accept
64,202,47,0.1000229065136001,0.019860151511930074,0.12022890343513118,0.079712084,Accept
64,202,48,0.10040284985786516,0.019820587,0.12022890343513118,0.079712084,Accept
64,202,49,0.099993892,0.019842826,0.12022890343513118,0.079712084,Accept
64,202,50,0.099341076,0.019922493852592413,0.12022890343513118,0.079712084,Accept
64,202,51,0.099747434,0.019733021695632416,0.12022890343513118,0.079712084,Accept
64,202,52,0.1003258650037193,0.019947027064655273,0.12022890343513118,0.079712084,Accept
64,202,53,0.10042891863500017,0.019959397,0.12022890343513118,0.079712084,Accept
64,202,54,0.099712258,0.019790213889206376,0.12022890343513118,0.079712084,Accept
64,202,55,0.099901718,0.019796294368463474,0.12022890343513118,0.079712084,Accept
64,202,56,0.099882099,0.019886358,0.12022890343513118,0.079712084,Accept
64,202,57,0.1001150337076388,0.019770014981478942,0.12022890343513118,0.079712084,Accept
64,202,58,0.10021411529059429,0.019637353965427845,0.12022890343513118,0.079712084,Accept
64,202,59,0.10025895937268138,0.019823924281674385,0.12022890343513118,0.079712084,Accept
64,202,60,0.10022397183255233,0.019614385384645397,0.12022890343513118,0.079712084,Accept
64,202,61,0.099784276,0.019770194,0.12022890343513118,0.079712084,Accept
64,202,62,0.10086164208838616,0.019936581956463043,0.12022890343513118,0.079712084,Accept
64,202,63,0.099623424,0.019791770998953198,0.12022890343513118,0.079712084,Accept
64,202,64,0.10008131505108214,0.019834641630979616,0.12022890343513118,0.079712084,Accept
8,33,1,0.10140814828518824,0.019575731627643103,0.11393697886425752,0.086482832,Accept
8,33,2,0.10029405273700528,0.019185860248201694,0.11393697886425752,0.086482832,Accept
8,33,3,0.099650615,0.019225680685230548,0.11393697886425752,0.086482832,Accept
8,33,4,0.099955556,0.018787121,0.11393697886425752,0.086482832,Accept
8,33,5,0.10066771892235647,0.017761344,0.11393697886425752,0.086482832,Accept
8,33,6,0.098600335,0.019031945015978255,0.11393697886425752,0.086482832,Accept
8,33,7,0.10049343756213591,0.019055933741771156,0.11393697886425752,0.086482832,Accept
8,33,8,0.10060937820539938,0.018016423,0.11393697886425752,0.086482832,Accept
92,564,1,0.099932824,0.019990240245598437,0.10959566402805673,0.090341588,Accept
92,564,2,0.099665386,0.019912856037791568,0.10959566402805673,0.090341588,Accept
92,564,3,0.10027615135874676,0.019958447,0.10959566402805673,0.090341588,Accept
92,564,4,0.099780043,0.019940886,0.10959566402805673,0.090341588,Accept
92,564,5,0.099705797,0.019861801,0.10959566402805673,0.090341588,Accept
92,564,6,0.099863728,0.019954014814973914,0.10959566402805673,0.090341588,Accept
92,564,7,0.099583831,0.019906197944271717,0.10959566402805673,0.090341588,Accept
92,564,8,0.10006636495398426,0.019933745,0.10959566402805673,0.090341588,Accept
92,564,9,0.099910194,0.019978123,0.10959566402805673,0.090341588,Accept
92,564,10,0.10007298047379004,0.019945922573951558,0.10959566402805673,0.090341588,Accept
92,564,11,0.09984481,0.019991755902482825,0.10959566402805673,0.090341588,Accept
92,564,12,0.10023333532776953,0.019927301599047695,0.10959566402805673,0.090341588,Accept
92,564,13,0.099828623,0.019950389914982963,0.10959566402805673,0.090341588,Accept
92,564,14,0.10045895010539287,0.019828122295414058,0.10959566402805673,0.090341588,Accept
92,564,15,0.10000052138133952,0.019952189,0.10959566402805673,0.090341588,Accept
92,564,16,0.099904196,0.019856558,0.10959566402805673,0.090341588,Accept
92,564,17,0.10008125058267825,0.019987415190693317,0.10959566402805673,0.090341588,Accept
92,564,18,0.099697648,0.019844389957841477,0.10959566402805673,0.090341588,Accept
92,564,19,0.099661843,0.019891899183215753,0.10959566402805673,0.090341588,Accept
92,564,20,0.10014983825269659,0.019927362990515576,0.10959566402805673,0.090341588,Accept
92,564,21,0.099947055,0.019919156291320392,0.10959566402805673,0.090341588,Accept
92,564,22,0.099984891,0.019960671255226187,0.10959566402805673,0.090341588,Accept
92,564,23,0.099813588,0.019885805536683523,0.10959566402805673,0.090341588,Accept
92,564,24,0.099964595,0.019981221,0.10959566402805673,0.090341588,Accept
92,564,25,0.10002156450973618,0.019939505974331195,0.10959566402805673,0.090341588,Accept
92,564,26,0.10010099552847945,0.019960829318199605,0.10959566402805673,0.090341588,Accept
92,564,27,0.10024840348457341,0.019907577138635044,0.10959566402805673,0.090341588,Accept
92,564,28,0.099609976,0.019943734430818177,0.10959566402805673,0.090341588,Accept
92,564,29,0.099673592,0.019924015250716895,0.10959566402805673,0.090341588,Accept
92,564,30,0.099711389,0.019896923673106942,0.10959566402805673,0.090341588,Accept
92,564,31,0.10008856906175409,0.019876911501178554,0.10959566402805673,0.090341588,Accept
92,564,32,0.10026977129085672,0.019936059,0.10959566402805673,0.090341588,Accept
92,564,33,0.10011073113749296,0.019922449852319626,0.10959566402805673,0.090341588,Accept
92,564,34,0.099741529,0.019903549,0.10959566402805673,0.090341588,Accept
92,564,35,0.09989333,0.019934584493435936,0.10959566402805673,0.090341588,Accept
92,564,36,0.10020713356279488,0.019947387093315422,0.10959566402805673,0.090341588,Accept
92,564,37,0.10006803791155694,0.019966137704854267,0.10959566402805673,0.090341588,Accept
92,564,38,0.10032287780068073,0.019964503763091404,0.10959566402805673,0.090341588,Accept
92,564,39,0.099877022,0.019954435,0.10959566402805673,0.090341588,Accept
92,564,40,0.099763221,0.019928263117857378,0.10959566402805673,0.090341588,Accept
92,564,41,0.10021153997981543,0.019958050270173805,0.10959566402805673,0.090341588,Accept
92,564,42,0.10003693574157978,0.019977263,0.10959566402805673,0.090341588,Accept
92,564,43,0.099849297,0.019926959,0.10959566402805673,0.090341588,Accept
92,564,44,0.10068360675730013,0.019851612309298258,0.10959566402805673,0.090341588,Accept
92,564,45,0.099676744,0.019906033012417224,0.10959566402805673,0.090341588,Accept
92,564,46,0.099626354,0.019933128772329195,0.10959566402805673,0.090341588,Accept
92,564,47,0.10013664911325083,0.019963668165265222,0.10959566402805673,0.090341588,Accept
92,564,48,0.10004682221537599,0.019953161251958756,0.10959566402805673,0.090341588,Accept
92,564,49,0.099845064,0.019923651,0.10959566402805673,0.090341588,Accept
92,564,50,0.099895876,0.01989261,0.10959566402805673,0.090341588,Accept
92,564,51,0.099962628,0.019888867348651237,0.10959566402805673,0.090341588,Accept
92,564,52,0.099877637,0.019969648,0.10959566402805673,0.090341588,Accept
92,564,53,0.099957506,0.01999657,0.10959566402805673,0.090341588,Accept
92,564,54,0.10011509268808114,0.019952418251380222,0.10959566402805673,0.090341588,Accept
92,564,55,0.099790893,0.019961669,0.10959566402805673,0.090341588,Accept
92,564,56,0.10005806871748336,0.019937934319704212,0.10959566402805673,0.090341588,Accept
92,564,57,0.099865894,0.019973917,0.10959566402805673,0.090341588,Accept
92,564,58,0.099703619,0.019828020114387043,0.10959566402805673,0.090341588,Accept
92,564,59,0.10004395772793633,0.019900835,0.10959566402805673,0.090341588,Accept
92,564,60,0.1001712867971387,0.019953824656020316,0.10959566402805673,0.090341588,Accept
92,564,61,0.10010462831125322,0.019880784,0.10959566402805673,0.090341588,Accept
92,564,62,0.10008182890376204,0.019929993478532776,0.10959566402805673,0.090341588,Accept
92,564,63,0.099610312,0.019874729392235946,0.10959566402805673,0.090341588,Accept
92,564,64,0.10047399788006657,0.019906328,0.10959566402805673,0.090341588,Accept
92,564,65,0.099999242,0.01990673,0.10959566402805673,0.090341588,Accept
92,564,66,0.099644203,0.019874655,0.10959566402805673,0.090341588,Accept
92,564,67,0.10004166627918572,0.019977881,0.10959566402805673,0.090341588,Accept
92,564,68,0.10026306489386311,0.019919541,0.10959566402805673,0.090341588,Accept
92,564,69,0.099632271,0.019981209590293203,0.10959566402805673,0.090341588,Accept
92,564,70,0.099995202,0.019870023780784132,0.10959566402805673,0.090341588,Accept
92,564,71,0.099782816,0.019974301,0.10959566402805673,0.090341588,Accept
92,564,72,0.10040655280932523,0.019916719,0.10959566402805673,0.090341588,Accept
92,564,73,0.1004915111046322,0.019924623629629518,0.10959566402805673,0.090341588,Accept
92,564,74,0.10020570955612881,0.019923201,0.10959566402805673,0.090341588,Accept
92,564,75,0.099924262,0.019867245484883195,0.10959566402805673,0.090341588,Accept
92,564,76,0.10015059687835527,0.019977604,0.10959566402805673,0.090341588,Accept
92,564,77,0.09982684,0.019946304868380685,0.10959566402805673,0.090341588,Accept
92,564,78,0.10047960090755867,0.019938214,0.10959566402805673,0.090341588,Accept
92,564,79,0.099759193,0.019901196351290826,0.10959566402805673,0.090341588,Accept
92,564,80,0.099947546,0.019976715150292368,0.10959566402805673,0.090341588,Accept
92,564,81,0.099858724,0.019982200168862804,0.10959566402805673,0.090341588,Accept
92,564,82,0.09957354,0.019945324271040663,0.10959566402805673,0.090341588,Accept
92,564,83,0.10024796362214587,0.019970636,0.10959566402805673,0.090341588,Accept
92,564,84,0.099871451,0.019983542659004483,0.10959566402805673,0.090341588,Accept
92,564,85,0.099778734,0.019962675339235472,0.10959566402805673,0.090341588,Accept
92,564,86,0.10016874170031044,0.019944853,0.10959566402805673,0.090341588,Accept
92,564,87,0.10002166412963262,0.019951724,0.10959566402805673,0.090341588,Accept
92,564,88,0.10016160781669531,0.01997242,0.10959566402805673,0.090341588,Accept
92,564,89,0.099923494,0.019925822,0.10959566402805673,0.090341588,Accept
92,564,90,0.099718117,0.019908108204091002,0.10959566402805673,0.090341588,Accept
92,564,91,0.099461374,0.019957699,0.10959566402805673,0.090341588,Accept
92,564,92,0.099815066,0.019905365787834417,0.10959566402805673,0.090341588,Accept
67,288,1,0.10069286807360267,0.019685000827901172,0.11440459543482198,0.085446558,Accept
67,288,2,0.10011035418777109,0.019848809431011458,0.11440459543482198,0.085446558,Accept
67,288,3,0.09952198,0.019828910057961793,0.11440459543482198,0.085446558,Accept
67,288,4,0.099753465,0.019906273604962943,0.11440459543482198,0.085446558,Accept
67,288,5,0.10019685821360559,0.019925514772399552,0.11440459543482198,0.085446558,Accept
67,288,6,0.099960954,0.019750793,0.11440459543482198,0.085446558,Accept
67,288,7,0.10047101508973307,0.019851209233067768,0.11440459543482198,0.085446558,Accept
67,288,8,0.10022958700512404,0.019798092390987704,0.11440459543482198,0.085446558,Accept
67,288,9,0.10059331032985716,0.019862463,0.11440459543482198,0.085446558,Accept
67,288,10,0.099999178,0.019800565,0.11440459543482198,0.085446558,Accept
67,288,11,0.099655516,0.019822422,0.11440459543482198,0.085446558,Accept
67,288,12,0.10003286095837347,0.019887544188630396,0.11440459543482198,0.085446558,Accept
67,288,13,0.10022118518719934,0.019932148148144507,0.11440459543482198,0.085446558,Accept
67,288,14,0.10028968252335388,0.019907626686228835,0.11440459543482198,0.085446558,Accept
67,288,15,0.099963241,0.019909050231279687,0.11440459543482198,0.085446558,Accept
67,288,16,0.099842096,0.019954739,0.11440459543482198,0.085446558,Accept
67,288,17,0.099701656,0.019872392,0.11440459543482198,0.085446558,Accept
67,288,18,0.099359502,0.019693166538261433,0.11440459543482198,0.085446558,Accept
67,288,19,0.10076255047148003,0.019707611989767837,0.11440459543482198,0.085446558,Accept
67,288,20,0.10050014340111958,0.019879191,0.11440459543482198,0.085446558,Accept
67,288,21,0.099972123,0.019910149,0.11440459543482198,0.085446558,Accept
67,288,22,0.10019354372229931,0.019981791170579938,0.11440459543482198,0.085446558,Accept
67,288,23,0.10069272266861441,0.019886101121737887,0.11440459543482198,0.085446558,Accept
67,288,24,0.09965323,0.019969516314266522,0.11440459543482198,0.085446558,Accept
67,288,25,0.10014472852795434,0.019907436,0.11440459543482198,0.085446558,Accept
67,288,26,0.09946922,0.019968997603276084,0.11440459543482198,0.085446558,Accept
67,288,27,0.10028584837960353,0.019694677926631432,0.11440459543482198,0.085446558,Accept
67,288,28,0.09945769,0.019895116045575423,0.11440459543482198,0.085446558,Accept
67,288,29,0.099882172,0.019910847198125317,0.11440459543482198,0.085446558,Accept
67,288,30,0.099574707,0.019728284207693583,0.11440459543482198,0.085446558,Accept
67,288,31,0.09995003,0.019893543822225385,0.11440459543482198,0.085446558,Accept
67,288,32,0.099778368,0.019830596055551764,0.11440459543482198,0.085446558,Accept
67,288,33,0.099996884,0.019920307,0.11440459543482198,0.085446558,Accept
67,288,34,0.10001728787338288,0.019985015706053863,0.11440459543482198,0.085446558,Accept
67,288,35,0.10010184117390132,0.019915188673625378,0.11440459543482198,0.085446558,Accept
67,288,36,0.099711111,0.019939802412903024,0.11440459543482198,0.085446558,Accept
67,288,37,0.099596906,0.019848187740557716,0.11440459543482198,0.085446558,Accept
67,288,38,0.10011212573185387,0.019931412001051294,0.11440459543482198,0.085446558,Accept
67,288,39,0.099566745,0.019593201602598462,0.11440459543482198,0.085446558,Accept
67,288,40,0.09977786,0.019883266,0.11440459543482198,0.085446558,Accept
67,288,41,0.099589618,0.019731811,0.11440459543482198,0.085446558,Accept
67,288,42,0.099915618,0.019810868914195714,0.11440459543482198,0.085446558,Accept
67,288,43,0.099935103,0.019945527144509284,0.11440459543482198,0.085446558,Accept
67,288,44,0.099633758,0.019946057,0.11440459543482198,0.085446558,Accept
67,288,45,0.099161328,0.019878583873362124,0.11440459543482198,0.085446558,Accept
67,288,46,0.1001717684858394,0.019856979380960496,0.11440459543482198,0.085446558,Accept
67,288,47,0.09953419,0.019839587917408363,0.11440459543482198,0.085446558,Accept
67,288,48,0.099906872,0.019891195,0.11440459543482198,0.085446558,Accept
67,288,49,0.099868012,0.019885088233428147,0.11440459543482198,0.085446558,Accept
67,288,50,0.10024594335256541,0.01987163,0.11440459543482198,0.085446558,Accept
67,288,51,0.099310208,0.019845954,0.11440459543482198,0.085446558,Accept
67,288,52,0.1000230273899342,0.019945069,0.11440459543482198,0.085446558,Accept
67,288,53,0.10044821417868333,0.019958473467514948,0.11440459543482198,0.085446558,Accept
67,288,54,0.10005693732463139,0.019944564,0.11440459543482198,0.085446558,Accept
67,288,55,0.10001044045075143,0.019925191,0.11440459543482198,0.085446558,Accept
67,288,56,0.1006797871238224,0.019940394,0.11440459543482198,0.085446558,Accept
67,288,57,0.099328532,0.01977321,0.11440459543482198,0.085446558,Accept
67,288,58,0.099640593,0.019930837707681295,0.11440459543482198,0.085446558,Accept
67,288,59,0.09987423,0.019947771279780438,0.11440459543482198,0.085446558,Accept
67,288,60,0.099652167,0.019822883,0.11440459543482198,0.085446558,Accept
67,288,61,0.099404751,0.019854558015829166,0.11440459543482198,0.085446558,Accept
67,288,62,0.099900473,0.019543471,0.11440459543482198,0.085446558,Accept
67,288,63,0.099638659,0.019869284695792425,0.11440459543482198,0.085446558,Accept
67,288,64,0.099596132,0.019939942129932067,0.11440459543482198,0.085446558,Accept
67,288,65,0.099803401,0.019714175,0.11440459543482198,0.085446558,Accept
67,288,66,0.10026169587635536,0.019849859,0.11440459543482198,0.085446558,Accept
67,288,67,0.099629046,0.019839202283853413,0.11440459543482198,0.085446558,Accept
20,186,1,0.099623145,0.019735288454021657,0.10671680469995941,0.093362624,Accept
20,186,2,0.099756098,0.019729043815558858,0.10671680469995941,0.093362624,Accept
20,186,3,0.099801723,0.019920023018248828,0.10671680469995941,0.093362624,Accept
20,186,4,0.099389969,0.019791946006544436,0.10671680469995941,0.093362624,Accept
20,186,5,0.09959862,0.019923339976270715,0.10671680469995941,0.093362624,Accept
20,186,6,0.10046370733862173,0.019950127328573167,0.10671680469995941,0.093362624,Accept
20,186,7,0.10006419026529201,0.019726803,0.10671680469995941,0.093362624,Accept
20,186,8,0.10016950047344984,0.019824632827062774,0.10671680469995941,0.093362624,Accept
20,186,9,0.10051252053950535,0.019724995651531282,0.10671680469995941,0.093362624,Accept
20,186,10,0.099715064,0.019751590326239382,0.10671680469995941,0.093362624,Accept
20,186,11,0.10041651564020598,0.019876440816218158,0.10671680469995941,0.093362624,Accept
20,186,12,0.099411794,0.019902692810459463,0.10671680469995941,0.093362624,Accept
20,186,13,0.10041070973635548,0.019968347909738962,0.10671680469995941,0.093362624,Accept
20,186,14,0.10036872944538736,0.019827353919856378,0.10671680469995941,0.093362624,Accept
20,186,15,0.10014781432404622,0.019787784,0.10671680469995941,0.093362624,Accept
20,186,16,0.10012333452214806,0.019482450597503184,0.10671680469995941,0.093362624,Accept
20,186,17,0.10012673461068193,0.01973716,0.10671680469995941,0.093362624,Accept
20,186,18,0.099603299,0.019935983,0.10671680469995941,0.093362624,Accept
20,186,19,0.1006740069840594,0.019820384,0.10671680469995941,0.093362624,Accept
20,186,20,0.1004168063967825,0.019850117,0.10671680469995941,0.093362624,Accept
62,1332,1,0.099719324,0.019979570937313937,0.10344002639761192,0.096530438,Accept
62,1332,2,0.099900316,0.019992311734968085,0.10344002639761192,0.096530438,Accept
62,1332,3,0.1000199218515365,0.019983975934392967,0.10344002639761192,0.096530438,Accept
62,1332,4,0.099923087,0.019950885627983347,0.10344002639761192,0.096530438,Accept
62,1332,5,0.10036699209660248,0.019982155,0.10344002639761192,0.096530438,Accept
62,1332,6,0.0997863,0.019981127260986303,0.10344002639761192,0.096530438,Accept
62,1332,7,0.099896431,0.019968139,0.10344002639761192,0.096530438,Accept
62,1332,8,0.10022998111448625,0.019956054807736295,0.10344002639761192,0.096530438,Accept
62,1332,9,0.10009704683529858,0.019950845,0.10344002639761192,0.096530438,Accept
62,1332,10,0.10011626216168844,0.01994316,0.10344002639761192,0.096530438,Accept
62,1332,11,0.10007924935793953,0.019950610695551374,0.10344002639761192,0.096530438,Accept
62,1332,12,0.10005154915094475,0.019945582180571853,0.10344002639761192,0.096530438,Accept
62,1332,13,0.099840661,0.019981672794912295,0.10344002639761192,0.096530438,Accept
62,1332,14,0.10007343383220164,0.019958946760475382,0.10344002639761192,0.096530438,Accept
62,1332,15,0.099982839,0.019981557594435928,0.10344002639761192,0.096530438,Accept
62,1332,16,0.099896994,0.019967985691174264,0.10344002639761192,0.096530438,Accept
62,1332,17,0.09988541,0.019986981,0.10344002639761192,0.096530438,Accept
62,1332,18,0.10013362161901965,0.019984337832797863,0.10344002639761192,0.096530438,Accept
62,1332,19,0.10001442889098457,0.019968515181053373,0.10344002639761192,0.096530438,Accept
62,1332,20,0.1000762376698233,0.019993306215137202,0.10344002639761192,0.096530438,Accept
62,1332,21,0.099898598,0.019968368,0.10344002639761192,0.096530438,Accept
62,1332,22,0.10011892656665362,0.019969965343499818,0.10344002639761192,0.096530438,Accept
